Ontology -  all instances of class from New SmartTable with Growth-Media	Matches	Composition	PLATE-ID	Observed-Growth	Object ID	Common-Name	WELL-ID	Summary
MIX0-80	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-26 // OBS0-250 // OBS0-130 // OBS0-101	MIX0-80	Bochner defined minimal medium without carbon	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation lacking a carbon source.
MIX0-81	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // PYRUVATE // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-26 // OBS0-256 // OBS0-106	MIX0-81	Bochner defined minimal medium without nitrogen	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation lacking a nitrogen source.
MIX0-83	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // PYRUVATE // AMMONIUM // MG+2 // K+ // FE+3 // SULFATE		OBS0-26 // OBS0-259 // OBS0-109	MIX0-83	Bochner defined minimal medium without phosphorous	A1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation without phosphorous.
MIX0-82	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // PYRUVATE // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3		OBS0-26 // OBS0-259 // OBS0-112	MIX0-82	Bochner defined minimal medium without sulfur	F1	This is a defined minimal medium for use in high-throughput phenotype analysis. It is typically prepared containing 0.01% tetrazolium violet as a redox dye to indicate whether cellular respiration is occurring in the presence of the included nutrient mix. This is the variation without sulfur.
MIX0-517	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-1125		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-517	PMA carbon source test + (R)-amygdalin	B4	
MIX0-491	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-660		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-491	PMA carbon source test + (R)-malate	G11	
MIX0-588	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // BUTANEDIOL		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-588	PMA carbon source test + (R,R)-2,3-butanediol	H10	
MIX0-445	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // RS-Malate		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-445	PMA carbon source test + (<i>RS</i>)-malate	C3	
MIX0-439	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-LACTATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-439	PMA carbon source test + (<i>S</i>)-lactate	B9	
MIX0-492	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MAL		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-492	PMA carbon source test + (<i>S</i>)-malate	G12	
MIX0-585	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-58		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-585	PMA carbon source test + 1-(4-hydroxyphenyl)-2-aminoethanol	H7	
MIX0-533	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3611		OBS0-267 // OBS0-255 // OBS0-246 // OBS0-29 // OBS0-105	MIX0-533	PMA carbon source test + 1-O-methyl-&beta;-D-glucuronate	C9	
MIX0-535	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3613		OBS0-301 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-535	PMA carbon source test + 1-O-methyl-&beta;-D-xylopyranose	C11	
MIX0-522	Phenotype-Microarray-Media	2-DEOXYRIBOSE // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-522	PMA carbon source test + 2'-deoxyribose	B9	
MIX0-547	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // BUTYRIC_ACID		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-547	PMA carbon source test + 2-butanoate	D12	
MIX0-790	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3564		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-790	PMA carbon source test + 2-hydroxybutyrate	E7	
MIX0-555	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3618		OBS0-253 // OBS0-245 // OBS0-30 // OBS0-104	MIX0-555	PMA carbon source test + 2-ketopentanoate	E10	
MIX0-459	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 2-OXOBUTANOATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-459	PMA carbon source test + 2-oxobutanoate	D7	
MIX0-458	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 2-KETOGLUTARATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-458	PMA carbon source test + 2-oxoglutarate	D6	
MIX0-502	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PHENYLETHYLAMINE		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-55	MIX0-502	PMA carbon source test + 2-phenylethylamine	H11	
MIX0-553	Phenotype-Microarray-Media	CPD-335 // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-553	PMA carbon source test + 3-hydroxybutanoate	E8	
MIX0-495	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 3-HYDROXYPHENYLACETATE		OBS0-280 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-495	PMA carbon source test + 3-hydroxyphenylacetate	H3	
MIX0-525	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3785		OBS0-265 // OBS0-255 // OBS0-246 // OBS0-29 // OBS0-105	MIX0-525	PMA carbon source test + 3-O-&beta;-D-galactopyranosyl-D-arabinose	B12	
MIX0-532	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD0-1937		OBS0-300 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-532	PMA carbon source test + 3-O-methyl-d-glucose	C8	
MIX0-561	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-628		OBS0-304 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-561	PMA carbon source test + 3-oxalomalate	F5	
MIX0-545	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 4-AMINO-BUTYRATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-545	PMA carbon source test + 4-aminobutyrate	D10	
MIX0-552	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 4-hydroxybenzoate		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-552	PMA carbon source test + 4-hydroxybenzoate	E7	
MIX0-554	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 4-HYDROXY-BUTYRATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-554	PMA carbon source test + 4-hydroxybutyrate	E9	
MIX0-494	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 4-HYDROXYPHENYLACETATE		OBS0-279 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-494	PMA carbon source test + 4-hydroxyphenylacetate	H2	
MIX0-546	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 5-AMINOPENTANOATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-546	PMA carbon source test + 5-aminopentanoate	D11	
MIX0-557	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 5-DEHYDROGLUCONATE		OBS0-268 // OBS0-254 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-557	PMA carbon source test + 5-dehydro-D-gluconate	E12	
MIX0-581	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 5-OXOPROLINE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-581	PMA carbon source test + 5-oxoproline	H3	
MIX0-583	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // DL-CARNITINE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-583	PMA carbon source test + a D,L-carnitine	H5	
MIX0-508	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Dextrins		OBS0-255 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-508	PMA carbon source test + a dextrin	A6	
MIX0-511	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3602		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-511	PMA carbon source test + a laminaran	A10	
MIX0-512	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // 1-4-Mannan		OBS0-295 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-512	PMA carbon source test + a mannan	A11	
MIX0-513	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Pectin		OBS0-254 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-513	PMA carbon source test + a pectin	A12	
MIX0-568	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ACETAMIDE		OBS0-307 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-568	PMA carbon source test + acetamide	G1	
