Observed-Growth from Copy of Biolog plates	Matches	Growth-Status
OBS0-101	MIX0-496 // MIX0-799 // MIX0-798 // MIX0-462 // MIX0-483 // MIX0-426 // MIX0-473 // MIX0-457 // MIX0-456 // MIX0-442 // MIX0-440 // MIX0-503 // MIX0-474 // MIX0-468 // MIX0-497 // MIX0-430 // MIX0-455 // MIX0-472 // MIX0-480 // MIX0-454 // MIX0-793 // MIX0-494 // MIX0-495 // MIX0-502 // MIX0-80	NONE
OBS0-102	MIX0-463 // MIX0-797 // MIX0-489 // MIX0-420 // MIX0-499 // MIX0-464 // MIX0-498 // MIX0-487	LOW
OBS0-103	MIX0-428 // MIX0-453 // MIX0-485 // MIX0-423 // MIX0-437 // MIX0-484 // MIX0-500 // MIX0-476 // MIX0-488 // MIX0-421 // MIX0-784 // MIX0-786 // MIX0-490 // MIX0-465 // MIX0-452 // MIX0-469 // MIX0-451 // MIX0-461 // MIX0-460 // MIX0-447 // MIX0-794 // MIX0-434 // MIX0-481 // MIX0-479 // MIX0-493 // MIX0-482 // MIX0-478 // MIX0-433 // MIX0-778 // MIX0-477 // MIX0-475 // MIX0-470 // MIX0-438 // MIX0-432 // MIX0-431 // MIX0-446 // MIX0-429 // MIX0-441 // MIX0-435 // MIX0-443 // MIX0-436 // MIX0-422 // MIX0-501 // MIX0-424 // MIX0-444 // MIX0-467 // MIX0-448 // MIX0-427 // MIX0-779 // MIX0-425 // MIX0-466 // MIX0-450 // MIX0-772 // MIX0-486 // MIX0-471 // MIX0-449 // MIX0-458 // MIX0-459 // MIX0-790 // MIX0-492 // MIX0-439 // MIX0-445 // MIX0-491	NORMAL
OBS0-104	MIX0-582 // MIX0-773 // MIX0-796 // MIX0-565 // MIX0-541 // MIX0-564 // MIX0-539 // MIX0-584 // MIX0-563 // MIX0-787 // MIX0-538 // MIX0-537 // MIX0-586 // MIX0-580 // MIX0-536 // MIX0-560 // MIX0-570 // MIX0-544 // MIX0-534 // MIX0-530 // MIX0-578 // MIX0-789 // MIX0-529 // MIX0-558 // MIX0-577 // MIX0-576 // MIX0-768 // MIX0-567 // MIX0-540 // MIX0-562 // MIX0-579 // MIX0-574 // MIX0-527 // MIX0-520 // MIX0-569 // MIX0-556 // MIX0-575 // MIX0-521 // MIX0-573 // MIX0-549 // MIX0-509 // MIX0-572 // MIX0-795 // MIX0-507 // MIX0-523 // MIX0-587 // MIX0-769 // MIX0-543 // MIX0-566 // MIX0-542 // MIX0-788 // MIX0-524 // MIX0-519 // MIX0-518 // MIX0-791 // MIX0-550 // MIX0-504 // MIX0-548 // MIX0-526 // MIX0-506 // MIX0-571 // MIX0-514 // MIX0-510 // MIX0-505 // MIX0-589 // MIX0-568 // MIX0-513 // MIX0-512 // MIX0-511 // MIX0-583 // MIX0-581 // MIX0-546 // MIX0-554 // MIX0-552 // MIX0-545 // MIX0-561 // MIX0-532 // MIX0-553 // MIX0-555 // MIX0-547 // MIX0-522 // MIX0-535 // MIX0-585 // MIX0-588 // MIX0-517	NONE
OBS0-105	MIX0-515 // MIX0-531 // MIX0-780 // MIX0-559 // MIX0-551 // MIX0-516 // MIX0-508 // MIX0-557 // MIX0-525 // MIX0-533	NORMAL
OBS0-106	MIX0-659 // MIX0-658 // MIX0-614 // MIX0-656 // MIX0-593 // MIX0-660 // MIX0-655 // MIX0-638 // MIX0-613 // MIX0-653 // MIX0-654 // MIX0-611 // MIX0-634 // MIX0-608 // MIX0-663 // MIX0-591 // MIX0-592 // MIX0-629 // MIX0-646 // MIX0-792 // MIX0-628 // MIX0-607 // MIX0-606 // MIX0-605 // MIX0-623 // MIX0-622 // MIX0-669 // MIX0-657 // MIX0-604 // MIX0-627 // MIX0-636 // MIX0-603 // MIX0-652 // MIX0-651 // MIX0-600 // MIX0-643 // MIX0-640 // MIX0-633 // MIX0-631 // MIX0-632 // MIX0-621 // MIX0-785 // MIX0-619 // MIX0-618 // MIX0-617 // MIX0-616 // MIX0-781 // MIX0-599 // MIX0-630 // MIX0-594 // MIX0-645 // MIX0-661 // MIX0-662 // MIX0-635 // MIX0-647 // MIX0-639 // MIX0-666 // MIX0-626 // MIX0-665 // MIX0-625 // MIX0-637 // MIX0-667 // MIX0-664 // MIX0-81	NONE
OBS0-107	MIX0-624 // MIX0-671 // MIX0-770 // MIX0-596 // MIX0-668	LOW
OBS0-108	MIX0-612 // MIX0-610 // MIX0-609 // MIX0-644 // MIX0-767 // MIX0-776 // MIX0-766 // MIX0-602 // MIX0-641 // MIX0-771 // MIX0-601 // MIX0-620 // MIX0-642 // MIX0-615 // MIX0-650 // MIX0-649 // MIX0-598 // MIX0-597 // MIX0-590 // MIX0-775 // MIX0-774 // MIX0-777 // MIX0-670 // MIX0-783 // MIX0-782 // MIX0-595 // MIX0-648	NORMAL
OBS0-109	MIX0-713 // MIX0-676 // MIX0-724 // MIX0-680 // MIX0-719 // MIX0-758 // MIX0-721 // MIX0-681 // MIX0-689 // MIX0-701 // MIX0-83	NONE
OBS0-110	MIX0-760 // MIX0-694 // MIX0-720	LOW
