gene,essential
b3241,False
b3240,False
b2836,False
b1338,False
b1337,False
b1336,False
b0185,True
b3255,True
b3256,True
b2316,True
b4015,False
b4014,False
b0114,False
b0115,False
b2296,False
b1276,False
b0118,False
b0404,False
b1094,True
b2563,True
b3475,False
b0463,False
b0462,False
b2470,False
b3265,False
b3266,False
b4069,False
b4067,False
b3253,False
b1623,False
b1241,False
b1478,False
b4117,False
b4115,False
b0474,True
b1002,False
b0605,False
b0606,False
b2290,False
b2379,False
b2670,False
b1415,False
b3588,False
b0505,False
b0512,False
b0516,False
b0517,False
b4053,False
b4087,False
b4088,False
b4086,False
b4085,False
b4084,False
b2435,False
b4169,False
b2817,False
b0867,False
b1982,False
b0110,False
b0433,False
b0376,False
b0451,False
b1927,False
b1640,False
b1767,False
b2957,False
b1453,False
b0049,False
b4055,False
b0980,False
b0469,False
b0875,False
b0062,False
b0063,False
b0061,False
b2841,False
b1901,False
b1900,False
b4460,False
b2818,False
b3959,False
b3958,False
b3359,False
b3957,False
b0273,False
b3172,False
b3960,False
b4254,False
b2918,False
b2923,False
b2310,False
b2255,False
b2253,False
b2254,False
b2256,False
b4544,False
b2258,False
b2257,False
b0908,False
b3389,False
b2329,False
b1693,False
b3281,False
b2601,False
b0754,False
b1704,False
b3390,False
b0388,False
b0112,False
b3502,False
b3503,False
b0863,False
b0860,False
b0861,False
b0864,False
b0862,False
b2716,False
b2715,False
b3433,True
b3744,False
b0674,False
b4139,False
b0928,False
b1747,False
b1745,False
b1748,False
b1746,False
b1744,False
b2222,False
b2224,False
b2221,False
b2223,False
b3734,False
b3738,False
b3731,False
b3732,False
b3737,False
b3736,False
b3733,False
b3735,False
b3739,False
b3572,False
b3057,False
b2480,False
b0311,False
b0312,False
b0314,False
b3336,False
b2901,False
b3721,False
b3722,False
b2132,False
b0774,False
b0775,False
b0777,False
b0778,False
b0776,False
b3412,False
b3551,False
b0401,False
b3966,False
b1711,False
b1709,False
b1710,False
b0158,False
b1270,False
b4131,False
b4132,False
b0038,False
b0037,False
b0036,False
b0040,False
b0126,False
b0032,False
b0033,False
b2201,False
b2200,False
b2199,False
b2198,False
b2197,False
b2143,False
b3918,False
b0175,True
b1661,False
b1216,False
b1736,False
b1738,False
b1737,False
b1734,False
b1733,False
b0681,False
b3713,False
b2155,False
b0617,False
b0616,False
b0615,False
b0613,False
b0612,False
b0614,False
b0155,False
b1592,False
b1249,False
b0789,False
b0910,False
b1870,False
b2933,False
b2934,False
b3974,True
b3634,True
b0103,True
b0638,False
b1992,False
b1991,False
b1993,False
b0337,False
b0336,False
b0446,False
b0484,False
b3816,False
b3032,False
b4213,False
b2049,False
b2048,False
b2417,False
b2810,False
b0123,False
b1449,False
b0575,False
b0574,False
b0572,False
b0573,False
b3806,False
b4208,False
b0733,False
b0734,False
b0886,False
b0887,False
b0340,False
b0339,False
b0341,False
b0432,False
b0431,False
b0430,False
b0429,False
b0428,False
b2422,False
b2750,False
b2752,False
b3607,False
b3368,False
b2762,False
b2763,False
b2764,False
b2414,False
b2421,False
b2751,False
b2425,False
b4214,False
b2424,False
b2423,False
b2413,False
b0632,False
b3182,False
b0839,False
b2010,False
b1189,False
b1190,False
b2478,True
b0031,True
b0166,True
b2472,True
b3809,False
b1206,False
b2065,False
b3528,False
b4138,False
b4123,False
b0621,False
b1919,False
b0381,False
b0092,False
b1487,False
b1486,False
b1485,False
b1484,False
b1483,False
b1488,False
b4382,False
b4383,False
b4381,False
b4384,False
b3639,True
b4042,False
b4477,False
b4478,False
