,exchange,uptake,growth
1,EX_acgam_e,10,True
2,EX_glcr_e,10,True
3,EX_succ_e,10,True
4,EX_gal_e,10,True
8,EX_tre_e,10,True
9,EX_man_e,10,True
10,EX_galt_e,10,False
13,EX_glyc_e,10,True
15,EX_glcur_e,10,True
16,EX_glcn_e,10,True
17,EX_glyc3p_e,10,True
20,EX_for_e,10,True
21,EX_mnl_e,10,True
23,EX_g6p_e,10,True
26,EX_rmn_e,10,True
27,EX_fru_e,10,True
28,EX_ac_e,10,True
30,EX_malt_e,10,True
31,EX_melib_e,10,True
32,EX_thymd_e,10,True
35,EX_akg_e,10,True
36,EX_lcts_e,10,True
37,EX_sucr_e,10,False
38,EX_uri_e,10,True
40,EX_g1p_e,10,True
41,EX_f6p_e,10,True
42,EX_malttr_e,10,True
43,EX_dad_2_e,10,True
44,EX_adn_e,10,True
45,EX_cit_e,10,False
46,EX_inost_e,10,False
47,EX_fum_e,10,True
48,EX_ppa_e,10,True
50,EX_glyclt_e,10,True
51,EX_ins_e,10,True
55,EX_acac_e,10,False
56,EX_acmana_e,10,True
59,EX_tym_e,10,False
61,EX_pyr_e,10,True
63,EX_galur_e,10,True
64,EX_peamn_e,10,False
65,EX_etha_e,10,False
66,EX_acnam_e,10,True
68,EX_4abut_e,10,False
69,EX_but_e,10,False
70,EX_dca_e,10,False
71,EX_hxa_e,10,False
72,EX_5dglcn_e,10,True
75,EX_gly_e,10,False
82,EX_orn_e,10,False
85,EX_ptrc_e,10,False
86,EX_dha_e,10,True
