Growth-Media	WELL-ID	In-Group
PMA carbon source test + dihydroxyacetone	H9	Biolog PM2 - Carbon Sources
PMA carbon source test + L-galactono-1,4-lactone	H9	Biolog PM1 - Carbon Sources
PMA nitrogen source test + gln	H9	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + 1-butanesulfonate	H9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + putrescine	H8	Biolog PM2 - Carbon Sources
PMA carbon source test + pyruvate	H8	Biolog PM1 - Carbon Sources
PMA nitrogen source test + gly-asn	H8	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + 4-aminobenzenesulfonate	H8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 1-(4-hydroxyphenyl)-2-aminoethanol	H7	Biolog PM2 - Carbon Sources
PMA carbon source test + glucuronamide	H7	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ala-thr	H7	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + hypotaurine	H7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + &beta;-L-lyxopyranose	H6	Biolog PM1 - Carbon Sources
PMA carbon source test + sec-butylamine	H6	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ala-leu	H6	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + taurine	H6	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + a D,L-carnitine	H5	Biolog PM2 - Carbon Sources
PMA carbon source test + D-psicose	H5	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ala-his	H5	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + taurocholate	H5	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + tyramine	H4	Biolog PM1 - Carbon Sources
PMA carbon source test + val	H4	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ala-gly	H4	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + lipoamide	H4	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 3-hydroxyphenylacetate	H3	Biolog PM1 - Carbon Sources
PMA carbon source test + 5-oxoproline	H3	Biolog PM2 - Carbon Sources
PMA nitrogen source test + L-Ala-L-Glu	H3	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + 1-thio-&beta;-D-glucose	H3	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 4-hydroxyphenylacetate	H2	Biolog PM1 - Carbon Sources
PMA carbon source test + phe	H2	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ala-gln	H2	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + thiourea	H2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + acetoin	H12	Biolog PM2 - Carbon Sources
PMA carbon source test + ethanolamine	H12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + methionine-alanine dipeptide	H12	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + sulfolane	H12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-phenylethylamine	H11	Biolog PM1 - Carbon Sources
PMA carbon source test + diacetyl	H11	Biolog PM2 - Carbon Sources
PMA nitrogen source test + gly-met	H11	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + methanesulfonate	H11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + (R,R)-2,3-butanediol	H10	Biolog PM2 - Carbon Sources
PMA carbon source test + D-galacturonate	H10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + glycyl-L-glutamate	H10	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + isethionate	H10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + glycylproline	H1	Biolog PM1 - Carbon Sources
PMA carbon source test + L-ornithine	H1	Biolog PM2 - Carbon Sources
PMA nitrogen source test + ala-asp	H1	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + djenkolate	H1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + ile	G9	Biolog PM2 - Carbon Sources
PMA carbon source test + mono-methyl hydrogen succinate	G9	Biolog PM1 - Carbon Sources
PMA nitrogen source test + 6-aminohexanoate	G9	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + gly-met	G9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + <i>N</i>-acetyl-D-mannosamine	G8	Biolog PM1 - Carbon Sources
PMA carbon source test + <i>trans</i>-4-hydroxy-L-proline	G8	Biolog PM2 - Carbon Sources
PMA nitrogen source test + 4-aminobutyrate	G8	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + D-methionine	G8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + acetoacetate	G7	Biolog PM1 - Carbon Sources
PMA carbon source test + L-homoserine	G7	Biolog PM2 - Carbon Sources
PMA nitrogen source test + 2-aminobutyrate	G7	Biolog PM3 - Nitrogen Sources
PMA sulfur source test + met	G7	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + ala-gly	G6	Biolog PM1 - Carbon Sources
